# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
34            	smoothSolver	1.849110e-03	1.628510e-04	12	5.729410e-03	5.661460e-04	11	1.143690e-02	1.009420e-03	12	false	GAMG	3.027810e-03	1.098180e-05	6	true
35            	smoothSolver	1.814080e-03	1.600170e-04	12	5.538620e-03	5.490890e-04	11	1.118840e-02	9.883700e-04	12	false	GAMG	2.912170e-03	1.041690e-05	6	true
36            	smoothSolver	1.781250e-03	1.573150e-04	12	5.362870e-03	5.332020e-04	11	1.095600e-02	9.682630e-04	12	false	GAMG	2.804390e-03	9.917880e-06	6	true
37            	smoothSolver	1.750040e-03	1.547360e-04	12	5.198540e-03	5.183490e-04	11	1.073320e-02	9.493510e-04	12	false	GAMG	2.704290e-03	9.455730e-06	6	true
38            	smoothSolver	1.720570e-03	1.522730e-04	12	5.045030e-03	5.044280e-04	11	1.052480e-02	9.312340e-04	12	false	GAMG	2.611320e-03	2.582210e-05	5	true
39            	smoothSolver	1.692370e-03	1.499150e-04	12	4.901240e-03	3.992660e-04	12	1.032260e-02	9.140090e-04	12	false	GAMG	2.594870e-03	2.442080e-05	5	true
40            	smoothSolver	1.665660e-03	1.476670e-04	12	4.724950e-03	3.857630e-04	12	1.011200e-02	8.954550e-04	12	false	GAMG	2.463720e-03	2.306410e-05	5	true
41            	smoothSolver	1.639990e-03	1.455110e-04	12	4.591780e-03	3.758720e-04	12	9.926660e-03	8.796820e-04	12	false	GAMG	2.381940e-03	2.186910e-05	5	true
42            	smoothSolver	1.615570e-03	1.434370e-04	12	4.473470e-03	3.670360e-04	12	9.755220e-03	8.647570e-04	12	false	GAMG	2.309870e-03	2.060180e-05	5	true
43            	smoothSolver	1.591980e-03	1.414440e-04	12	4.362930e-03	3.587710e-04	12	9.590650e-03	8.506160e-04	12	false	GAMG	2.244200e-03	1.952320e-05	5	true
44            	smoothSolver	1.569490e-03	1.395260e-04	12	4.258140e-03	3.509560e-04	12	9.434080e-03	8.369000e-04	12	false	GAMG	2.183730e-03	1.844060e-05	5	true
45            	smoothSolver	1.547830e-03	1.376790e-04	12	4.160580e-03	3.435800e-04	12	9.282220e-03	8.238800e-04	12	false	GAMG	2.126970e-03	1.754230e-05	5	true
46            	smoothSolver	1.527120e-03	1.359000e-04	12	4.069140e-03	3.366150e-04	12	9.138020e-03	8.112130e-04	12	false	GAMG	2.077130e-03	1.666030e-05	5	true
47            	smoothSolver	1.507070e-03	1.341840e-04	12	3.980380e-03	3.300010e-04	12	8.997570e-03	7.991430e-04	12	false	GAMG	2.027470e-03	1.592720e-05	5	true
48            	smoothSolver	1.487880e-03	1.325270e-04	12	3.899130e-03	3.237660e-04	12	8.863380e-03	7.873720e-04	12	false	GAMG	1.981800e-03	1.517980e-05	5	true
49            	smoothSolver	1.469240e-03	1.309290e-04	12	3.822780e-03	3.178790e-04	12	8.733510e-03	7.761340e-04	12	false	GAMG	1.938370e-03	1.456760e-05	5	true
50            	smoothSolver	1.451370e-03	1.293820e-04	12	3.750460e-03	3.123070e-04	12	8.608700e-03	7.651150e-04	12	false	GAMG	1.897730e-03	1.395550e-05	5	true
51            	smoothSolver	1.434010e-03	1.278860e-04	12	3.680140e-03	3.069770e-04	12	8.486870e-03	7.545860e-04	12	false	GAMG	1.855380e-03	1.347190e-05	5	true
52            	smoothSolver	1.417340e-03	1.264390e-04	12	3.613420e-03	3.018890e-04	12	8.369010e-03	7.442900e-04	12	false	GAMG	1.813580e-03	1.296870e-05	5	true
53            	smoothSolver	1.401090e-03	1.250370e-04	12	3.550530e-03	2.970500e-04	12	8.255330e-03	7.344560e-04	12	false	GAMG	1.772970e-03	1.256190e-05	5	true
54            	smoothSolver	1.385470e-03	1.236780e-04	12	3.490520e-03	2.924380e-04	12	8.145370e-03	7.247940e-04	12	false	GAMG	1.734490e-03	1.212740e-05	5	true
55            	smoothSolver	1.370220e-03	1.223600e-04	12	3.433570e-03	2.880360e-04	12	8.038800e-03	7.155470e-04	12	false	GAMG	1.698200e-03	1.177470e-05	5	true
56            	smoothSolver	1.355550e-03	1.210800e-04	12	3.379420e-03	2.838190e-04	12	7.935540e-03	7.064480e-04	12	false	GAMG	1.663990e-03	1.139690e-05	5	true
57            	smoothSolver	1.341200e-03	1.198350e-04	12	3.327070e-03	2.797840e-04	12	7.835150e-03	6.977260e-04	12	false	GAMG	1.630860e-03	1.108520e-05	5	true
58            	smoothSolver	1.327370e-03	1.186240e-04	12	3.277790e-03	2.759140e-04	12	7.737740e-03	6.891290e-04	12	false	GAMG	1.599050e-03	1.075290e-05	5	true
59            	smoothSolver	1.313820e-03	1.174450e-04	12	3.229850e-03	2.721940e-04	12	7.642800e-03	6.808740e-04	12	false	GAMG	1.568390e-03	1.047230e-05	5	true
60            	smoothSolver	1.300720e-03	1.162950e-04	12	3.184870e-03	2.686230e-04	12	7.550700e-03	6.727300e-04	12	false	GAMG	1.538990e-03	1.016380e-05	5	true
61            	smoothSolver	1.287880e-03	1.151740e-04	12	3.140760e-03	2.651840e-04	12	7.460760e-03	6.649040e-04	12	false	GAMG	1.510540e-03	9.908880e-06	5	true
62            	smoothSolver	1.275470e-03	1.140790e-04	12	3.098950e-03	2.618710e-04	12	7.373370e-03	6.571650e-04	12	false	GAMG	1.483920e-03	9.622910e-06	5	true
63            	smoothSolver	1.263270e-03	1.130100e-04	12	3.058010e-03	2.586720e-04	12	7.287960e-03	6.497260e-04	12	false	GAMG	1.458290e-03	9.385380e-06	5	true
64            	smoothSolver	1.251450e-03	1.119650e-04	12	3.018820e-03	2.555720e-04	12	7.204840e-03	6.423580e-04	12	false	GAMG	1.433880e-03	9.127130e-06	5	true
65            	smoothSolver	1.239800e-03	1.109440e-04	12	2.980550e-03	2.525650e-04	12	7.123590e-03	6.352700e-04	12	false	GAMG	1.410070e-03	8.906220e-06	5	true
66            	smoothSolver	1.228500e-03	1.099440e-04	12	2.944150e-03	2.496390e-04	12	7.044360e-03	6.282400e-04	12	false	GAMG	1.387450e-03	8.671770e-06	5	true
67            	smoothSolver	1.217360e-03	1.089670e-04	12	2.908600e-03	2.467930e-04	12	6.966870e-03	6.214730e-04	12	false	GAMG	1.366060e-03	8.473760e-06	5	true
68            	smoothSolver	1.206550e-03	1.080090e-04	12	2.874550e-03	2.440230e-04	12	6.891240e-03	6.147590e-04	12	false	GAMG	1.345760e-03	8.255890e-06	5	true
69            	smoothSolver	1.195880e-03	1.070720e-04	12	2.840670e-03	2.413220e-04	12	6.817170e-03	6.082900e-04	12	false	GAMG	1.326150e-03	8.078180e-06	5	true
70            	smoothSolver	1.185520e-03	1.061530e-04	12	2.808010e-03	2.386800e-04	12	6.744990e-03	6.018650e-04	12	false	GAMG	1.307010e-03	7.885930e-06	5	true
71            	smoothSolver	1.175290e-03	1.052540e-04	12	2.775360e-03	2.360930e-04	12	6.674110e-03	5.956730e-04	12	false	GAMG	1.288320e-03	7.720300e-06	5	true
72            	smoothSolver	1.165340e-03	1.043710e-04	12	2.743960e-03	2.335550e-04	12	6.604880e-03	5.895110e-04	12	false	GAMG	1.270480e-03	7.530640e-06	5	true
73            	smoothSolver	1.155500e-03	1.035060e-04	12	2.712880e-03	2.310670e-04	12	6.536860e-03	5.835630e-04	12	false	GAMG	1.253410e-03	7.364280e-06	5	true
74            	smoothSolver	1.145920e-03	1.026560e-04	12	2.683020e-03	2.286290e-04	12	6.470380e-03	5.776400e-04	12	false	GAMG	1.237370e-03	7.190910e-06	5	true
75            	smoothSolver	1.136450e-03	1.018220e-04	12	2.653290e-03	2.262380e-04	12	6.405140e-03	5.719230e-04	12	false	GAMG	1.221760e-03	7.051750e-06	5	true
76            	smoothSolver	1.127230e-03	1.010030e-04	12	2.624630e-03	2.238870e-04	12	6.341370e-03	5.662280e-04	12	false	GAMG	1.206470e-03	6.904530e-06	5	true
77            	smoothSolver	1.118090e-03	1.001990e-04	12	2.595940e-03	2.215740e-04	12	6.278630e-03	5.607300e-04	12	false	GAMG	1.191340e-03	6.787780e-06	5	true
78            	smoothSolver	1.109180e-03	9.940780e-05	12	2.568230e-03	2.192950e-04	12	6.217140e-03	5.552480e-04	12	false	GAMG	1.176760e-03	6.655750e-06	5	true
79            	smoothSolver	1.100360e-03	9.863080e-05	12	2.540650e-03	2.170520e-04	12	6.156650e-03	5.499510e-04	12	false	GAMG	1.162410e-03	6.541470e-06	5	true
80            	smoothSolver	1.091760e-03	9.786640e-05	12	2.514100e-03	2.148440e-04	12	6.097470e-03	5.446610e-04	12	false	GAMG	1.148370e-03	6.418400e-06	5	true
81            	smoothSolver	1.083230e-03	9.711540e-05	12	2.487510e-03	2.126720e-04	12	6.039150e-03	5.395440e-04	12	false	GAMG	1.133900e-03	6.313390e-06	5	true
82            	smoothSolver	1.074910e-03	9.637620e-05	12	2.461920e-03	2.105380e-04	12	5.982010e-03	5.344330e-04	12	false	GAMG	1.119440e-03	6.201170e-06	5	true
83            	smoothSolver	1.066660e-03	9.564940e-05	12	2.436380e-03	2.084410e-04	12	5.925780e-03	5.294890e-04	12	false	GAMG	1.105590e-03	6.105520e-06	5	true
84            	smoothSolver	1.058610e-03	9.493330e-05	12	2.411680e-03	2.063760e-04	12	5.870570e-03	5.245450e-04	12	false	GAMG	1.092620e-03	6.006250e-06	5	true
85            	smoothSolver	1.050610e-03	9.422880e-05	12	2.386760e-03	2.043400e-04	12	5.816130e-03	5.197630e-04	12	false	GAMG	1.080250e-03	5.923670e-06	5	true
